"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000067, 1, 0.000067, x1='0.0', x2='0.0'
-1.000000, 55.602113, 0.151332, 1, 1.151332, x1='0.0', x2='0.0'
-2.000000, 1.106200, 0.314343, 2, 2.314343, x1='2.976530200783335', x2='1.6471123570178596'
-9.000000, 0.417963, 1.353466, 3, 10.353466, x1='9.362906036945507', x2='2.38204616023306'
